Lat,Lon,Date,Vendor_Count,Stall_Count,Image_File,Nighttime_Radiance
-23.575999999999997,-46.660000000000025,2024-02,1,1,sp_macro_images/macro_-23.57600_-46.66000_2024-02.jpg,88.92
-23.575999999999997,-46.64800000000003,2023-07,0,0,sp_macro_images/macro_-23.57600_-46.64800_2023-07.jpg,88.14
-23.575999999999997,-46.644000000000034,2025-01,0,1,sp_macro_images/macro_-23.57600_-46.64400_2025-01.jpg,118.77
-23.575999999999997,-46.63600000000004,2025-01,0,2,sp_macro_images/macro_-23.57600_-46.63600_2025-01.jpg,95.05
-23.575999999999997,-46.63200000000004,2025-01,0,1,sp_macro_images/macro_-23.57600_-46.63200_2025-01.jpg,80.75
-23.575999999999997,-46.61200000000005,2025-01,0,0,sp_macro_images/macro_-23.57600_-46.61200_2025-01.jpg,77.34
-23.575999999999997,-46.60800000000005,2024-07,0,0,sp_macro_images/macro_-23.57600_-46.60800_2024-07.jpg,87.67
-23.575999999999997,-46.60000000000006,2024-04,0,0,sp_macro_images/macro_-23.57600_-46.60000_2024-04.jpg,62.42
-23.575999999999997,-46.59600000000006,2024-01,0,1,sp_macro_images/macro_-23.57600_-46.59600_2024-01.jpg,57.27
-23.575999999999997,-46.59200000000006,2024-04,0,0,sp_macro_images/macro_-23.57600_-46.59200_2024-04.jpg,77.71
-23.575999999999997,-46.58400000000007,2025-05,0,1,sp_macro_images/macro_-23.57600_-46.58400_2025-05.jpg,63.04
-23.575999999999997,-46.58000000000007,2024-01,0,0,sp_macro_images/macro_-23.57600_-46.58000_2024-01.jpg,62.27
-23.575999999999997,-46.57600000000007,2023-03,0,0,sp_macro_images/macro_-23.57600_-46.57600_2023-03.jpg,66.57
-23.575999999999997,-46.56800000000008,2024-04,0,0,sp_macro_images/macro_-23.57600_-46.56800_2024-04.jpg,68.53
-23.575999999999997,-46.56400000000008,2024-04,0,2,sp_macro_images/macro_-23.57600_-46.56400_2024-04.jpg,69.78
-23.575999999999997,-46.56000000000008,2024-04,0,0,sp_macro_images/macro_-23.57600_-46.56000_2024-04.jpg,68.47
-23.571999999999992,-46.7,2024-01,0,1,sp_macro_images/macro_-23.57200_-46.70000_2024-01.jpg,103.45
-23.571999999999992,-46.696000000000005,2024-10,0,3,sp_macro_images/macro_-23.57200_-46.69600_2024-10.jpg,112.75
-23.571999999999992,-46.680000000000014,2024-07,0,1,sp_macro_images/macro_-23.57200_-46.68000_2024-07.jpg,67.94
-23.571999999999992,-46.67200000000002,2024-04,0,0,sp_macro_images/macro_-23.57200_-46.67200_2024-04.jpg,89.36
-23.571999999999992,-46.66400000000002,2025-10,0,0,sp_macro_images/macro_-23.57200_-46.66400_2025-10.jpg,93.78
-23.571999999999992,-46.660000000000025,2023-03,1,0,sp_macro_images/macro_-23.57200_-46.66000_2023-03.jpg,93.02
-23.571999999999992,-46.65200000000003,2024-04,0,2,sp_macro_images/macro_-23.57200_-46.65200_2024-04.jpg,95.76
-23.571999999999992,-46.64800000000003,2024-11,0,1,sp_macro_images/macro_-23.57200_-46.64800_2024-11.jpg,95.76
-23.571999999999992,-46.64000000000004,2024-11,0,0,sp_macro_images/macro_-23.57200_-46.64000_2024-11.jpg,119.24
-23.571999999999992,-46.63600000000004,2025-01,1,0,sp_macro_images/macro_-23.57200_-46.63600_2025-01.jpg,97.09
-23.571999999999992,-46.63200000000004,2025-01,0,0,sp_macro_images/macro_-23.57200_-46.63200_2025-01.jpg,84.47
-23.571999999999992,-46.62800000000004,2025-01,1,1,sp_macro_images/macro_-23.57200_-46.62800_2025-01.jpg,70.91
-23.571999999999992,-46.61600000000005,2025-01,0,0,sp_macro_images/macro_-23.57200_-46.61600_2025-01.jpg,59.62
-23.571999999999992,-46.61200000000005,2025-01,0,0,sp_macro_images/macro_-23.57200_-46.61200_2025-01.jpg,79.51
-23.571999999999992,-46.60800000000005,2024-08,0,0,sp_macro_images/macro_-23.57200_-46.60800_2024-08.jpg,90.26
-23.571999999999992,-46.604000000000056,2025-05,0,0,sp_macro_images/macro_-23.57200_-46.60400_2025-05.jpg,78.97
